[2026-08-07 10:13:52] [INFO] ============================================
[2026-08-07 10:13:52] [INFO] Script started.
[2026-08-07 10:13:52] [INFO] Script name: 08_round_edges.py
[2026-08-07 10:13:52] [INFO] Project: AIML-Driven Super-Resolution and Volumetric Reconstruction for Mixing Tanks
[2026-08-07 10:13:52] [INFO] Script folder: C:\AI_ML_Fellowship\Project2\Scripts
[2026-08-07 10:13:52] [INFO] Source folder: C:\AI_ML_Fellowship\Project2\Images\04_Transparent
[2026-08-07 10:13:52] [INFO] Output folder: C:\AI_ML_Fellowship\Project2\Images\05_Final_Rounded
[2026-08-07 10:13:52] [INFO] Alpha cutoff: 128
[2026-08-07 10:13:52] [INFO] Supersample factor: 4
[2026-08-07 10:13:52] [INFO] Logs folder: C:\AI_ML_Fellowship\Project2\Scripts\Logs
[2026-08-07 10:13:52] [INFO] Log file: C:\AI_ML_Fellowship\Project2\Scripts\Logs\08_round_edges.log
[2026-08-07 10:13:52] [INFO] Found 155 PNG file(s) in C:\AI_ML_Fellowship\Project2\Images\04_Transparent.
[2026-08-07 10:15:50] [INFO] Processed: frame_0066.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0066.png
[2026-08-07 10:15:52] [INFO] Processed: frame_0067.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0067.png
[2026-08-07 10:15:54] [INFO] Processed: frame_0068.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0068.png
[2026-08-07 10:15:57] [INFO] Processed: frame_0069.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0069.png
[2026-08-07 10:15:59] [INFO] Processed: frame_0070.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0070.png
[2026-08-07 10:16:01] [INFO] Processed: frame_0071.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0071.png
[2026-08-07 10:16:03] [INFO] Processed: frame_0072.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0072.png
[2026-08-07 10:16:06] [INFO] Processed: frame_0073.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0073.png
[2026-08-07 10:16:09] [INFO] Processed: frame_0074.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0074.png
[2026-08-07 10:16:11] [INFO] Processed: frame_0075.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0075.png
[2026-08-07 10:16:13] [INFO] Processed: frame_0076.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0076.png
[2026-08-07 10:16:15] [INFO] Processed: frame_0077.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0077.png
[2026-08-07 10:16:18] [INFO] Processed: frame_0078.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0078.png
[2026-08-07 10:16:21] [INFO] Processed: frame_0079.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0079.png
[2026-08-07 10:16:23] [INFO] Processed: frame_0080.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0080.png
[2026-08-07 10:16:26] [INFO] Processed: frame_0081.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0081.png
[2026-08-07 10:16:31] [INFO] Processed: frame_0082.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0082.png
[2026-08-07 10:16:38] [INFO] Processed: frame_0083.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0083.png
[2026-08-07 10:16:44] [INFO] Processed: frame_0084.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0084.png
[2026-08-07 10:16:48] [INFO] Processed: frame_0085.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0085.png
[2026-08-07 10:16:51] [INFO] Processed: frame_0086.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0086.png
[2026-08-07 10:16:55] [INFO] Processed: frame_0087.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0087.png
[2026-08-07 10:16:58] [INFO] Processed: frame_0088.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0088.png
[2026-08-07 10:17:02] [INFO] Processed: frame_0089.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0089.png
[2026-08-07 10:17:05] [INFO] Processed: frame_0090.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0090.png
[2026-08-07 10:17:08] [INFO] Processed: frame_0091.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0091.png
[2026-08-07 10:17:11] [INFO] Processed: frame_0092.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0092.png
[2026-08-07 10:17:15] [INFO] Processed: frame_0093.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0093.png
[2026-08-07 10:17:20] [INFO] Processed: frame_0094.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0094.png
[2026-08-07 10:17:24] [INFO] Processed: frame_0095.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0095.png
[2026-08-07 10:17:28] [INFO] Processed: frame_0096.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0096.png
